platform	subject	trial	choice	accuracy
mturk	0g4fx9g2wryeio74yzgqwpq8	32	0.999	0.0005
mturk	0g4fx9g2wryeio74yzgqwpq8	33	0.9995	0.0
mturk	0g4fx9g2wryeio74yzgqwpq8	34	0.7495	0.1235
mturk	0g4fx9g2wryeio74yzgqwpq8	35	0.3025	0.3025
mturk	0g4fx9g2wryeio74yzgqwpq8	36	0.9895	0.9895
mturk	0g4fx9g2wryeio74yzgqwpq8	37	0.9985	0.9985
mturk	0g4fx9g2wryeio74yzgqwpq8	38	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	39	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	40	0.998	0.998
mturk	0g4fx9g2wryeio74yzgqwpq8	41	0.7535	0.7535
mturk	0g4fx9g2wryeio74yzgqwpq8	42	0.9965	0.9965
mturk	0g4fx9g2wryeio74yzgqwpq8	43	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	44	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	45	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	46	0.9995	0.0005
mturk	0g4fx9g2wryeio74yzgqwpq8	47	0.9995	0.0005
mturk	0g4fx9g2wryeio74yzgqwpq8	48	0.761	0.1025
mturk	0g4fx9g2wryeio74yzgqwpq8	49	0.2595	0.2595
mturk	0g4fx9g2wryeio74yzgqwpq8	50	0.9875	0.9875
mturk	0g4fx9g2wryeio74yzgqwpq8	51	0.998	0.998
mturk	0g4fx9g2wryeio74yzgqwpq8	52	0.9985	0.9985
mturk	0g4fx9g2wryeio74yzgqwpq8	53	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	54	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	55	0.716	0.716
mturk	0g4fx9g2wryeio74yzgqwpq8	56	0.9975	0.9975
mturk	0g4fx9g2wryeio74yzgqwpq8	57	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	58	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	59	0.703	0.703
mturk	0g4fx9g2wryeio74yzgqwpq8	60	0.996	0.996
mturk	0g4fx9g2wryeio74yzgqwpq8	61	0.6355	0.172
mturk	0g4fx9g2wryeio74yzgqwpq8	62	0.994	0.003
mturk	0g4fx9g2wryeio74yzgqwpq8	63	0.9975	0.002
mturk	0g4fx9g2wryeio74yzgqwpq8	64	0.6935	0.156
mturk	0g4fx9g2wryeio74yzgqwpq8	65	0.339	0.339
mturk	0g4fx9g2wryeio74yzgqwpq8	66	0.9925	0.9925
mturk	0g4fx9g2wryeio74yzgqwpq8	67	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	68	0.6705	0.6705
mturk	0g4fx9g2wryeio74yzgqwpq8	69	0.997	0.997
mturk	0g4fx9g2wryeio74yzgqwpq8	70	0.6395	0.6395
mturk	0g4fx9g2wryeio74yzgqwpq8	71	0.994	0.994
mturk	0g4fx9g2wryeio74yzgqwpq8	72	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	73	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	74	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	75	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	76	0.9995	0.0
mturk	0g4fx9g2wryeio74yzgqwpq8	77	1.0	0.0
mturk	0g4fx9g2wryeio74yzgqwpq8	78	1.0	0.0
mturk	0g4fx9g2wryeio74yzgqwpq8	79	0.7495	0.123
mturk	0g4fx9g2wryeio74yzgqwpq8	80	0.33	0.33
