platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,02rwq76tp9lcye8vrl41llnh,6,80,0,1.0,38.0,0.965,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,81,0,2.0,39.0,0.365,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,82,0,0.0,37.0,0.257,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,83,0,0.0,37.0,0.503,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,84,0,0.0,37.0,0.231,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,85,0,0.0,37.0,0.756,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,86,0,2.0,39.0,0.531,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,87,0,1.0,38.0,0.392,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,88,0,2.0,39.0,0.627,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,89,0,0.0,37.0,0.477,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,90,0,0.0,37.0,0.307,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,1,1,1.0,38.0,0.922,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,2,1,0.0,37.0,1.045,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,3,1,2.0,39.0,0.929,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,4,1,1.0,38.0,0.662,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,5,1,2.0,39.0,0.49,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,6,1,1.0,38.0,0.402,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,7,1,1.0,38.0,0.436,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,8,1,1.0,38.0,0.812,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,9,1,1.0,38.0,0.769,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,10,1,1.0,38.0,0.661,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,11,1,1.0,38.0,0.569,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,12,1,1.0,38.0,0.483,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,13,1,1.0,38.0,0.462,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,14,1,1.0,38.0,0.347,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,1,15,1,1.0,38.0,0.385,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,16,0,1.0,38.0,0.548,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,17,0,1.0,38.0,0.815,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,18,0,2.0,39.0,0.291,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,19,0,2.0,39.0,0.714,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,20,0,0.0,37.0,0.232,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,21,0,0.0,37.0,0.386,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,22,0,0.0,37.0,0.471,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,23,0,0.0,37.0,0.605,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,24,0,0.0,37.0,0.368,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,25,0,0.0,37.0,0.331,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,26,0,0.0,37.0,0.333,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,27,0,1.0,38.0,0.208,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,28,0,2.0,39.0,0.56,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,29,0,0.0,37.0,0.609,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,2,30,0,0.0,37.0,0.45,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,31,2,0.0,37.0,0.38,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,32,2,1.0,38.0,0.283,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,33,2,2.0,39.0,0.323,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,34,2,2.0,39.0,0.322,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,35,2,2.0,39.0,0.282,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,36,2,2.0,39.0,0.355,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,37,2,2.0,39.0,0.336,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,38,2,2.0,39.0,0.033,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,39,2,2.0,39.0,0.301,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,40,2,0.0,37.0,0.333,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,41,2,0.0,37.0,0.482,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,42,2,1.0,38.0,0.38,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,43,2,2.0,39.0,0.57,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,44,2,2.0,39.0,0.464,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,3,45,2,2.0,39.0,0.514,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,46,0,0.0,37.0,0.38,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,47,0,0.0,37.0,0.706,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,48,0,0.0,37.0,0.499,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,49,0,0.0,37.0,0.403,1.0,1.0
