platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0k1tzkzdb7dvx6z9q0nyovde,56,1,1.0,38.0,0.268,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,57,1,1.0,38.0,0.26,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,58,1,1.0,38.0,0.236,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,59,1,1.0,38.0,0.148,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,60,1,1.0,38.0,0.252,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,61,0,1.0,38.0,0.244,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,62,0,1.0,38.0,0.235,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,63,0,1.0,38.0,0.267,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,64,0,2.0,39.0,0.133,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,65,0,2.0,39.0,0.22,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,66,0,2.0,39.0,0.269,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,67,0,2.0,39.0,0.22,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,68,0,0.0,37.0,0.084,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,69,0,0.0,37.0,0.052,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,70,0,0.0,37.0,0.212,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,71,0,0.0,37.0,0.164,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,72,0,0.0,37.0,0.259,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,73,0,0.0,37.0,0.204,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,74,0,0.0,37.0,0.548,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,75,0,2.0,39.0,0.036,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,76,2,1.0,38.0,0.196,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,77,2,2.0,39.0,0.395,1.0,1.0
