platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,27,0,1.0,38.0,0.208,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,28,0,2.0,39.0,0.56,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,29,0,0.0,37.0,0.609,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,30,0,0.0,37.0,0.45,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,31,2,0.0,37.0,0.38,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,32,2,1.0,38.0,0.283,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,33,2,2.0,39.0,0.323,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,34,2,2.0,39.0,0.322,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,35,2,2.0,39.0,0.282,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,36,2,2.0,39.0,0.355,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,37,2,2.0,39.0,0.336,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,38,2,2.0,39.0,0.033,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,39,2,2.0,39.0,0.301,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,40,2,0.0,37.0,0.333,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,41,2,0.0,37.0,0.482,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,42,2,1.0,38.0,0.38,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,43,2,2.0,39.0,0.57,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,44,2,2.0,39.0,0.464,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,45,2,2.0,39.0,0.514,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,46,0,0.0,37.0,0.38,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,47,0,0.0,37.0,0.706,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,48,0,0.0,37.0,0.499,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,49,0,0.0,37.0,0.403,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,50,0,0.0,37.0,0.971,1.0,0.0
